,stopid,stopname,geometry
1579,357447.0,Avalon Blvd & 106th St (Southbound),POINT (-118.2652473450001 33.94022801300006)
1578,357440.0,Avalon Blvd & 104th St (Southbound),POINT (-118.26524868600008 33.94169775500009)
1500,356657.0,Avalon Blvd & 104th St (Northbound),POINT (-118.26507300100009 33.94177341100008)
1501,356663.0,Avalon Blvd & 102nd St (Northbound),POINT (-118.26504483800011 33.94353907000008)
1577,357432.0,Avalon Blvd & 102nd St (Southbound),POINT (-118.26527416700009 33.94355019500009)
1576,357425.0,Avalon Blvd & Century Blvd (Southbound),POINT (-118.26525136800005 33.94515116000011)
1502,356669.0,Avalon Blvd & Century Blvd (Northbound),POINT (-118.26504886200009 33.94525017700008)
1575,357406.0,McKinley Ave & Century Blvd (Southbound),POINT (-118.26084986300009 33.94597888900009)
1503,356682.0,McKinley Ave & Century Blvd (Northbound),POINT (-118.26075196300008 33.94603785300009)
1556,357184.0,103rd St & Success Ave (Westbound),POINT (-118.24889928100008 33.94334548300006)
1520,356871.0,Central Ave & Century Blvd (Southbound),POINT (-118.25420603200007 33.94529579100006)
1559,357202.0,Central Ave & Century Blvd (Northbound),POINT (-118.25395658600009 33.94549159800008)
1560,357213.0,Century Blvd & Success Ave (Eastbound),POINT (-118.24869945600005 33.945528312000114)
1561,357222.0,Century Blvd & Grandee Ave (Eastbound),POINT (-118.24369981900008 33.945576151000104)
1519,356858.0,Century Blvd & Success Ave (Westbound),POINT (-118.2487933340001 33.945726343000075)
1518,356844.0,Century Blvd & Grandee Ave  (Westbound),POINT (-118.24363946900006 33.945816459000106)
1513,356784.0,92nd St & Maie Ave (Eastbound),POINT (-118.24380442500005 33.953181120000096)
1512,356780.0,92nd St & Compton Ave (Eastbound),POINT (-118.24564442000008 33.9531855700001)
1504,356692.0,McKinley Ave & Colden Ave (Northbound),POINT (-118.26074391600008 33.94911506000009)
1574,357392.0,McKinley Ave & Colden Ave (Southbound),POINT (-118.26084181700007 33.94942433200007)
1573,357377.0,McKinley Ave & 92nd St (Southbound),POINT (-118.2608284060001 33.9530253780001)
1505,356705.0,McKinley Ave & 92nd St (Northbound),POINT (-118.2607372110001 33.9531199360001)
1511,356761.0,92nd St & Central Ave (Eastbound),POINT (-118.25598031300005 33.95320225600009)
1568,357308.0,92nd St & Central (Westbound),POINT (-118.2561653850001 33.95334019800007)
1506,356715.0,McKinley Ave & 88th Pl (Northbound),POINT (-118.26072648200007 33.956398231000065)
1569,357322.0,88th Pl & Central Ave (Northbound),POINT (-118.25630351900008 33.95639934400006)
1572,357364.0,McKinley Ave & 88th Pl (Southbound),POINT (-118.26081097100007 33.956597350000074)
1510,356749.0,Central Ave & 88th Pl (Southbound),POINT (-118.25650066100009 33.95666965500008)
1567,357290.0,92nd St & Compton Ave (Westbound),POINT (-118.24722826500009 33.95343141800007)
1571,357351.0,McKinley Ave & Manchester Ave (Southbound),POINT (-118.26080024200007 33.95980988200009)
1509,356741.0,Central Ave & Manchester Ave (Southbound),POINT (-118.2564966380001 33.95986661200007)
1507,356727.0,McKinley Ave & Manchester Ave (Northbound),POINT (-118.26071038800005 33.95997562300008)
1508,356733.0,Manchester Ave & Wadsworth Ave (Eastbound),POINT (-118.2587376240001 33.96007128500006)
1570,357339.0,Manchester Ave & Central Ave (Westbound),POINT (-118.2567943630001 33.96025371000011)
98,356067.0,Florence Ave & Avalon Blvd (Eastbound),POINT (-118.26473370200007 33.974645137000074)
99,356073.0,Florence Ave & McKinley Ave (Eastbound),POINT (-118.26154455500006 33.97466849200007)
100,356080.0,Florence Ave & Central Ave (Eastbound),POINT (-118.25701296300008 33.97468628700008)
130,356301.0,Florence Ave & Avalon Blvd (Westbound),POINT (-118.2646813990001 33.97481529700011)
129,356296.0,Florence Ave & McKinley Ave (Westbound),POINT (-118.26122134900011 33.9748386520001)
1473,358342.0,Main St & 66th St (Northbound),POINT (-118.27384516600007 33.97957518900009)
1413,357695.0,Main St & 66th St (Southbound),POINT (-118.27401146300008 33.97975868500007)
1412,357687.0,Main St & Gage Ave (Southbound),POINT (-118.27400341600007 33.98207958700007)
1474,358356.0,Gage Ave & Main St (Westbound),POINT (-118.2744298880001 33.98249104800007)
1256,305959.0,Main & Slauson Ave. (CW),POINT (-118.27400207500006 33.98939885400009)
1279,305983.0,Main & Slauson Ave. (CCW),POINT (-118.27386260000007 33.98943443700009)
1280,305984.0,Main & 54th St. (CCW),POINT (-118.27387601100008 33.993188345000114)
1281,305985.0,54th & San Pedro St. (CCW),POINT (-118.26989561300009 33.99332177500006)
1282,305986.0,54th & Avalon Blvd. (CCW),POINT (-118.2654726510001 33.993341789000084)
1255,305958.0,54th & Main St. (CW),POINT (-118.2737767700001 33.99336625200008)
1146,305925.0,55th & Holmes Ave. (Southbound),POINT (-118.24153125300005 33.99293482800008)
1285,305989.0,55th & Hooper Ave. (CCW),POINT (-118.25227081800007 33.99296596200006)
128,356289.0,Florence Ave & Central Ave (Westbound),POINT (-118.25701296300008 33.97486756800007)
1284,305988.0,55th & Central Ave. (CCW),POINT (-118.25625926300006 33.9929793050001)
1251,305954.0,55th & Central Ave. (CW),POINT (-118.25629413100006 33.99303934800006)
1252,305955.0,54th & Mckinley Ave. (CW),POINT (-118.26089948400009 33.99336180400011)
1283,305987.0,54th & McKinley Ave. (CCW),POINT (-118.26067417900009 33.993388490000065)
1236,305939.0,Vernon & Avalon Blvd. (CW),POINT (-118.26503813300006 34.00383760100008)
1237,305940.0,Vernon & McKinley Ave. (CW),POINT (-118.2610081140001 34.003859837000086)
1298,306002.0,Vernon & Avalon Blvd. (CCW),POINT (-118.26494157300012 34.003942108000075)
1297,306001.0,Vernon & McKinley Ave. (CCW),POINT (-118.2606849070001 34.003953226000114)
1296,306000.0,Central & Vernon Ave. (CCW),POINT (-118.25699150600009 34.003986579000106)
1249,305952.0,55th & Compton Ave. (CW),POINT (-118.2475125790001 33.9930059910001)
1250,305953.0,55th & Hooper Ave. (CW),POINT (-118.25193554200008 33.99303490100008)
1248,305924.0,Long Beach & 55th St. (Southbound),POINT (-118.24356436700009 33.993117183000074)
1145,305924.0,Long Beach & 55th St. (Southbound),POINT (-118.24356436700009 33.993117183000074)
1286,305990.0,Compton & 53rd St. (CCW),POINT (-118.24768960500005 33.99461380900007)
1138,305917.0,Holmes & 53rd St. (Northbound),POINT (-118.24106454800005 33.9947939360001)
1144,305923.0,Long Beach & 53rd St. (Southbound),POINT (-118.2435214520001 33.99542104200007)
1247,305923.0,Long Beach & 53rd St. (Southbound),POINT (-118.2435214520001 33.99542104200007)
1139,305918.0,Long Beach & 52nd St. (Northbound),POINT (-118.24318349400012 33.99551444000011)
1287,305991.0,Compton & 51st St. (CCW),POINT (-118.24770301600006 33.996439523000085)
1254,305957.0,54th & San Pedro St. (CW),POINT (-118.26975345600009 33.993388490000065)
1253,305956.0,54th & Avalon Blvd. (CW),POINT (-118.26541900600006 33.993412952000064)
1232,305935.0,Vernon & Main St. (CW),POINT (-118.2743266220001 34.0037775650001)
1302,306006.0,Vernon & Main St. (CCW),POINT (-118.2741549610001 34.00388429600006)
1301,306005.0,Vernon & San Pedro St. (CCW),POINT (-118.26996803300004 34.00390653100008)
1233,305936.0,San Pedro & Vernon (CW),POINT (-118.26954960800008 34.0040621800001)
1300,306004.0,San Pedro & 42nd Pl. (CCW),POINT (-118.26967835400006 34.0064657990001)
1234,305937.0,42nd & San Pedro St. (CW),POINT (-118.26937526500005 34.0065391740001)
1235,305938.0,42nd & Avalon Blvd. (CW),POINT (-118.26544314600007 34.006566967000055)
1299,306003.0,42nd & Avalon Blvd. (CCW),POINT (-118.26539486600007 34.00665701800009)
1288,305992.0,Compton & 48th Pl. (CCW),POINT (-118.24770301600006 33.999159120000094)
1140,305919.0,Long Beach & 48th Place. (Northbound),POINT (-118.24310839200007 33.999210264000084)
1143,305922.0,Long Beach & 48th Pl. (Southbound),POINT (-118.2434517150001 33.99921471200006)
1246,305922.0,Long Beach & 48th Pl. (Southbound),POINT (-118.2434517150001 33.99921471200006)
1289,305993.0,Compton & 46th St. (CCW),POINT (-118.24768960500005 34.002020940000115)
1245,305921.0,Long Beach & Vernon Ave (Southbound),POINT (-118.2434678080001 34.00374198900008)
1142,305921.0,Long Beach & Vernon Ave (Southbound),POINT (-118.2434678080001 34.00374198900008)
1141,305920.0,Long Beach & Vernon Ave. (Northbound),POINT (-118.24301183200008 34.003750883000095)
1290,305994.0,Compton & Vernon Ave. (CCW),POINT (-118.24740529100006 34.0042200510001)
1244,305947.0,Long Beach & 42nd St. (CW),POINT (-118.24337124800007 34.006143393000094)
1433,357922.0,Vermont Ave & Manchester Ave (Northbound),POINT (-118.29153567600008 33.96041944900006)
1453,358123.0,Vermont Ave & 83rd St (Southbound),POINT (-118.29182267200007 33.96315577100009)
1434,357934.0,Vermont Ave & 82nd St (Northbound),POINT (-118.2914954420001 33.96405562300007)
1452,358117.0,Vermont Ave & 81st St (Southbound),POINT (-118.29181999000008 33.964979937000095)
1435,357943.0,Vermont Ave & 81st St (Northbound),POINT (-118.29145386800006 33.96593649600007)
1451,358108.0,Vermont Ave & 79th St (Southbound),POINT (-118.29182133100011 33.96745028400009)
1436,357953.0,Vermont Ave & 79th St (Northbound),POINT (-118.29146191500007 33.968272234000075)
1450,358097.0,Vermont Ave & 76th St (Southbound),POINT (-118.29178646200006 33.97041215900007)
