,stopid,stopname,geometry
303,298872.0,Fairfax & 1st (Southbound),POINT (-118.36145818200008 34.0741127480001)
291,298860.0,Gracie Allen & George Burns (Eastbound),POINT (-118.38137760800011 34.07525581000007)
328,298899.0,Fairfax & Beverly (Northbound),POINT (-118.36135625800006 34.07590120600006)
337,298908.0,La Cienega Blvd & Beverly (Southbound),POINT (-118.3766770360001 34.076298882000096)
292,298861.0,Beverly Blvd & San Vicente (Eastbound),POINT (-118.37889924600005 34.0763122120001)
293,298862.0,La Cienega Blvd & Beverly (Northbound),POINT (-118.37651208000005 34.07633331800006)
302,298871.0,Fairfax Ave & Beverly Blvd (Southbound),POINT (-118.36149439200007 34.076423295000076)
301,298870.0,Fairfax Ave & Oakwood (Southbound),POINT (-118.3614863460001 34.07794844400011)
329,298900.0,Fairfax & Oakwood (Northbound),POINT (-118.3613589410001 34.07850495500006)
294,298863.0,La Cienega Blvd & Rosewood (Northbound),POINT (-118.37647721200007 34.07985456300006)
300,298869.0,Fairfax Ave & Rosewood (Southbound),POINT (-118.36151048500005 34.07995231200008)
315,298885.0,La Brea & 6th (Southbound),POINT (-118.34410697200009 34.064778830000115)
314,298883.0,6th & Cochran (Eastbound),POINT (-118.34767431000006 34.06482993500007)
312,298881.0,6th & Hauser (Eastbound),POINT (-118.35117727500004 34.064834379000075)
313,298882.0,6th & Burnside (Eastbound),POINT (-118.34950089500006 34.06485437600006)
311,298880.0,Hauser & Burnside (Southbound),POINT (-118.35027873500006 34.06649860500008)
310,298879.0,Hauser & Drexel (Southbound),POINT (-118.35002124300006 34.067973941000076)
309,298878.0,Hauser & Fuller (Southbound),POINT (-118.35083261100011 34.068903788000085)
308,298877.0,3rd & Hauser (Eastbound),POINT (-118.35128858700006 34.0699247210001)
307,298876.0,3rd & Gardner (Eastbound),POINT (-118.35324257600008 34.07029909700007)
538,304818.0,Fountain & Las Palmas Ave.,POINT (-118.33645731200012 34.09434011300008)
330,298901.0,Fairfax & Rosewood (Northbound),POINT (-118.36138576300009 34.08043549900006)
296,298865.0,Melrose Ave & Orlando (Eastbound),POINT (-118.37341815200006 34.08334678300005)
299,298868.0,Fairfax Ave & Melrose (Southbound),POINT (-118.36152255500009 34.083545604000086)
297,298866.0,Melrose Ave  & Harper (Eastbound),POINT (-118.36924865800006 34.08367111600009)
298,298867.0,Melrose Ave & Crescent Heights (Eastbound),POINT (-118.36609706300008 34.08369222000008)
334,298905.0,Melrose & Orlando (Westbound),POINT (-118.37253838800008 34.083729985000076)
333,298904.0,Melrose & Harper (Westbound),POINT (-118.36879402400008 34.08378107800011)
332,298903.0,Melrose & Crescent Heights (Westbound),POINT (-118.36561292400008 34.0838343930001)
331,298902.0,Melrose & Fairfax (Westbound),POINT (-118.36174517900007 34.08388326500008)
1356,391613.0,Ventura Blvd & Whitsett Ave Eastbound,POINT (-118.40488985200007 34.142625876000096)
1357,391614.0,Ventura Blvd & Laurelgrove Ave Eastbound,POINT (-118.40048164100006 34.14301325000006)
1359,391816.0,Ventura Blvd & Laurelgrove Ave Westbound,POINT (-118.4011991320001 34.143119805000055)
1358,391815.0,Ventura Blvd & Laurel Canyon Blvd Westbound,POINT (-118.39579448100005 34.14359264200008)
1360,391817.0,Whitsett Ave & Valleyheart Dr Northbound,POINT (-118.40512320400006 34.14365923900007)
1311,391568.0,Laurel Canyon Blvd & Ventura Blvd Northbound,POINT (-118.39534655200009 34.14403661900011)
1404,391861.0,Laurel Canyon Blvd & Valleyheart Dr Southbound,POINT (-118.39646503300008 34.14639964200009)
1312,391569.0,Laurel Canyon Blvd & Valleyheart Dr Northbound,POINT (-118.39633896900006 34.14668266700008)
1355,391612.0,Whitsett Ave & Valley Spring Ln Southbound,POINT (-118.40530693500007 34.14686469100011)
1361,391818.0,Whitsett Ave & Valley Spring Ln Northbound,POINT (-118.40511918100009 34.14700120900009)
1403,391860.0,Laurel Canyon Blvd & Moorpark St Southbound,POINT (-118.3966031670001 34.1499579260001)
1354,391611.0,Whitsett Ave & Moorpark St Southbound,POINT (-118.40528279500008 34.14997457400009)
1395,391852.0,Moorpark St & Woodman Ave Eastbound,POINT (-118.43078121500008 34.15026868600009)
1394,391851.0,Moorpark St & Stern Ave Eastbound,POINT (-118.43565747100007 34.15027312600009)
1400,391857.0,Moorpark St & Bellaire Ave Eastbound,POINT (-118.40956360100006 34.15029088300006)
1398,391855.0,Moorpark St & Ethel Ave Eastbound,POINT (-118.41827675700006 34.15029088300006)
1397,391854.0,Moorpark St & Fulton Ave Eastbound,POINT (-118.42215657200006 34.15029088300006)
1399,391856.0,Moorpark St & Coldwater Canyon Ave Eastbound,POINT (-118.4132583440001 34.15029199300009)
1402,391859.0,Moorpark St & Laurelgrove Ave Eastbound,POINT (-118.40092420600007 34.15029310300006)
1401,391858.0,Moorpark St & Whitsett Ave Eastbound,POINT (-118.40540483600006 34.150296433000086)
1396,391853.0,Moorpark St & Allott Ave Eastbound,POINT (-118.42812314600009 34.15029976200007)
1393,391850.0,Moorpank St & Hazeltine Ave Eastbound,POINT (-118.43963787000006 34.15036191400006)
1317,391574.0,Moorpark St & Coldwater Canyon Ave Westbound,POINT (-118.4140844640001 34.15041518700011)
1314,391571.0,Moorpark St & Laurelgrove Ave Westbound,POINT (-118.40067744300005 34.15042073600009)
1313,391570.0,Moorpark St & Laurel Canyon Blvd Westbound,POINT (-118.39690625700007 34.15042073600009)
1318,391575.0,Moorpark St & Ethel Ave Westbound,POINT (-118.41845378300009 34.150421846000064)
1322,391579.0,Moorpark St & Stern Ave Westbound,POINT (-118.43535438200006 34.15042517600009)
1319,391576.0,Moorpark St & Fulton Ave Westbound,POINT (-118.42293039000008 34.1504296150001)
1320,391577.0,Moorpark St & Allott Ave Westbound,POINT (-118.42785224300007 34.1504296150001)
1321,391578.0,Moorpark St & Woodman Ave Westbound,POINT (-118.43184202900005 34.15043294500007)
1316,391573.0,Moorpark St & Bellaire Ave Westbound,POINT (-118.40967357200009 34.15043294500007)
1315,391572.0,Moorpark St & Babcock Ave Westbound,POINT (-118.40609014000006 34.150438494000106)
1323,391580.0,Moorpark St & Hazeltine Ave Westbound,POINT (-118.43980282500006 34.15052506200008)
1362,391819.0,Whitsett Ave & Moorpark St Northbound,POINT (-118.40514197900008 34.15065824500008)
1324,391581.0,Hazeltine Ave & Milbank St Northbound,POINT (-118.4398940210001 34.15287014700008)
1353,391610.0,Whitsett Ave & Sarah St Southbound,POINT (-118.40532571100012 34.15365811600007)
1325,391582.0,Hazeltine Ave & Riverside Dr Northbound,POINT (-118.43988731500008 34.1564670010001)
1363,391820.0,Whitsett Ave & Riverside Dr Northbound,POINT (-118.40512856800007 34.157311535000105)
1352,391609.0,Whitsett Ave & Riverside Dr Southbound,POINT (-118.4053525330001 34.157825353000106)
1326,391583.0,Hazeltine Ave & Huston St Northbound,POINT (-118.43988999700007 34.15931019400009)
1351,391608.0,Whitsett Ave & Addison St Southbound,POINT (-118.40532973400006 34.16165503500005)
1364,391821.0,Whitsett Ave & Hesby St Northbound,POINT (-118.40515270800006 34.16201901700006)
1365,391822.0,Whitsett Ave & Magnolia Blvd Northbound,POINT (-118.40516477800007 34.164667832000106)
1389,391846.0,Hazeltine Ave & Magnolia Blvd Southbound,POINT (-118.44007641100008 34.1650262530001)
1350,391607.0,Whitsett Ave & Magnolia Blvd Southbound,POINT (-118.40534851000007 34.1650462270001)
1327,391584.0,Magnolia Blvd & Hazeltine Ave Northbound,POINT (-118.43989267900008 34.16518604400008)
1388,391845.0,Hazeltine Ave & Chandler Blvd Southbound,POINT (-118.44002813100008 34.16871135800008)
1349,391606.0,Whitsett Ave & Chandler Blvd Southbound,POINT (-118.40534985100011 34.16883452500011)
507,303335.0,Hollywood & Cahuenga Blvd.,POINT (-118.3297705650001 34.101535318000096)
508,303336.0,Hollywood & Vine St.,POINT (-118.32690060100009 34.1015664120001)
412,296260.0,Hollywood Blvd & Argyle Ave (Eastbound),POINT (-118.32530736900009 34.10157085400008)
530,304746.0,Hollywood & Whitley St.,POINT (-118.33315014800009 34.101641926000106)
528,304737.0,Hollywood & Cahuenga Blvd.,POINT (-118.3292663100001 34.1016696880001)
529,304742.0,Hollywood & Wilcox Ave.,POINT (-118.33086691800008 34.10167302000011)
527,304731.0,Hollywood & Vine St.,POINT (-118.3268845080001 34.10169745000011)
526,304725.0,Argyle & Hollywood Blvd,POINT (-118.32526579500006 34.101852919000095)
14,298807.0,Vine & Hollywood (Northbound),POINT (-118.3265894650001 34.10189289700006)
457,303288.0,Argyle & Hollywood Blvd.,POINT (-118.32510352100007 34.10195730500007)
11,400394.0,Argyle & Hollywood (Southbound),POINT (-118.32525104300008 34.101990620000066)
531,304752.0,Whitley & Yucca St.,POINT (-118.33330035200011 34.103262121000085)
505,303333.0,Whitley & Yucca St.,POINT (-118.33338886500007 34.103403151000094)
458,303289.0,Argyle & Yucca St.,POINT (-118.32513570800005 34.10352086100008)
459,394547.0,Argyle & Yucca St. (Northbound),POINT (-118.32515850700008 34.103885094000105)
15,394547.0,Argyle & Yucca St. (Northbound),POINT (-118.32515850700008 34.103885094000105)
525,298840.0,Argyle & Yucca (Southbound),POINT (-118.32526713600011 34.10389397700008)
10,298840.0,Argyle & Yucca (Southbound),POINT (-118.32526713600011 34.10389397700008)
461,303290.0,Franklin & Beachwood Dr.,POINT (-118.32137256900008 34.10517544400008)
460,298841.0,Franklin & Argyle (Eastbound),POINT (-118.32485407600005 34.10518432700011)
503,303331.0,Franklin & Las Palmas Ave.,POINT (-118.33611801300009 34.105153235000074)
533,304765.0,Franklin & Las Palmas Ave.,POINT (-118.3359718320001 34.10521542000007)
521,304691.0,Franklin & Wilton Pl.,POINT (-118.31349089700007 34.10540086400008)
520,304680.0,Franklin & Western Ave.,POINT (-118.30949172400005 34.1054264040001)
16,298841.0,Franklin & Argyle (Eastbound),POINT (-118.32485407600005 34.10518432700011)
532,304760.0,Franklin & Whitley St.,POINT (-118.33360880600009 34.1052387390001)
9,302973.0,Franklin & Vista Del Mar (Westbound),POINT (-118.32413926700006 34.10530314500008)
524,298839.0,Franklin & Beachwood (Westbound),POINT (-118.32160055600009 34.105325354000094)
8,298839.0,Franklin & Beachwood (Westbound),POINT (-118.32160055600009 34.105325354000094)
17,298842.0,Beachwod & Franklin (Northbound),POINT (-118.32119286100011 34.10543973000009)
7,298838.0,Beachwood & Mid Block (Southbound),POINT (-118.32169443400011 34.10704541600009)
18,298843.0,Beachwood & Mid Block (Northbound),POINT (-118.32158714500008 34.10717200500008)
19,298844.0,Beachwood & Scenic (Northbound),POINT (-118.32144230600011 34.110025739000065)
6,298837.0,Beachwood & Scenic (Southbound),POINT (-118.32150802000005 34.11027890600011)
20,298845.0,Beachwood & Temple Hill (Northbound),POINT (-118.32143157700007 34.11169240900009)
5,298836.0,Beachwood & Temple Hill (Southbound),POINT (-118.32151874900008 34.11183897700008)
21,298846.0,Beachwood & Winans,POINT (-118.32140743700006 34.113215812000114)
4,298835.0,Beachwood & Winans (Southbound),POINT (-118.32152277200011 34.11342122500006)
22,298847.0,Beachwood & Cheremoya Ave (Northbound),POINT (-118.32146242300007 34.1154908720001)
3,298834.0,Beachwood & Gower (Southbound),POINT (-118.32153886600008 34.11572403700009)
23,298848.0,Beachwood & Glen Alder (Northbound),POINT (-118.32146376400009 34.11696202300007)
2,298833.0,Beachwood & Glen Alder (Southbound),POINT (-118.3215522770001 34.1171207950001)
24,298849.0,Beachwood & Glen Oak (Northbound),POINT (-118.32143560100009 34.11867851800005)
1,298832.0,Beachwood & Glen Oak (Southbound),POINT (-118.32141548400004 34.118849500000096)
0,298831.0,Beachwood & Westshire (Southbound),POINT (-118.32110837100008 34.119675535000084)
25,298850.0,Beachwood & Westshire (Northbound),POINT (-118.32102924600008 34.119906468000096)
1392,391849.0,Hazeltine Ave & Milbank St Southbound,POINT (-118.44008177500007 34.15314649200011)
1391,391848.0,Hazeltine Ave & Riverside Dr Southbound,POINT (-118.44007909300007 34.15724383900008)
1390,391847.0,Hazeltine Ave & Huston St Southbound,POINT (-118.44007909300007 34.1595532260001)
1337,391593.0,Oxnard St & Tyrone Ave Eastbound,POINT (-118.44449266800007 34.17930638800008)
1336,391592.0,Oxnard St & Van Nuys Blvd Eastbound,POINT (-118.44827994700006 34.17930971600006)
1378,391835.0,Oxnard St & Tyrone Ave Westbound,POINT (-118.44473674900007 34.179470590000086)
1377,391834.0,Oxnard St & Hazeltine Ave Westbound,POINT (-118.44040364000006 34.17947724600006)
1385,391842.0,Hazeltine Ave & Oxnard St Southbound,POINT (-118.44008445700005 34.179590412000074)
1379,391836.0,Van Nuys Blvd & Oxnard St Northbound,POINT (-118.44856828500008 34.179972069000065)
1380,391837.0,Van Nuys Blvd & Delano St Northbound,POINT (-118.44859242400008 34.18242062300007)
1366,391823.0,Whitsett Ave & Chandler Blvd Northbound,POINT (-118.40516209600008 34.16896213100009)
1328,391585.0,Hazeltine Ave & Chandler Blvd Northbound,POINT (-118.4398940210001 34.16918849100009)
1348,391605.0,Whitsett Ave & Burbank Blvd Southbound,POINT (-118.40535387400006 34.17176939600009)
1347,391604.0,Burbank Blvd & Bellaire Ave Eastbound,POINT (-118.4096011520001 34.17203125500007)
1345,391602.0,Burbank Blvd & Ethel Ave Eastbound,POINT (-118.41838941000007 34.17203458400011)
1346,391603.0,Burbank Blvd & Coldwater Canyon Ave Eastbound,POINT (-118.41435134400007 34.1720401320001)
1344,391601.0,Burbank Blvd & Fulton Ave Eastbound,POINT (-118.4219527240001 34.1721100340001)
1371,391828.0,Burbank Blvd & Fulton Ave Westbound,POINT (-118.4219983220001 34.172149979000075)
1367,391824.0,Burbank Blvd & Whitsett Ave Westbound,POINT (-118.4058380130001 34.172217663000055)
1368,391825.0,Burbank Blvd & Bellaire Ave Westbound,POINT (-118.40982511600009 34.17222210100008)
1370,391827.0,Burbank Blvd & Ethel Ave Westbound,POINT (-118.41855704800008 34.17222653900009)
1369,391826.0,Burbank blvd & Coldwater Canyon Ave Westbound,POINT (-118.41411531000006 34.172233196000064)
1387,391844.0,Hazeltine Ave & Burbank Blvd Southbound,POINT (-118.44006300000007 34.172371892000086)
1329,391586.0,Hazeltine Ave & Burbank Blvd Northbound,POINT (-118.43988061000009 34.172405179000094)
1330,391587.0,Hazeltine Ave & Hatteras St Northbound,POINT (-118.4398967030001 34.175601774000064)
1372,391829.0,Fulton Ave & Hatteras St Northbound,POINT (-118.42243015800005 34.1756450450001)
1343,391600.0,Fulton Ave & Hatteras St Southbound,POINT (-118.42260316000011 34.17586916800011)
1386,391843.0,Hazeltine Ave & Hatteras St Southbound,POINT (-118.44005495300007 34.17587027800008)
1342,391599.0,Fulton Ave & Oxnard St Southbound,POINT (-118.42260316000011 34.17908338300006)
1339,391595.0,Oxnard St & Ranchito Ave Eastbound,POINT (-118.43581438100006 34.17931748200008)
1338,391594.0,Oxnard St & Hazeltine Ave Eastbound,POINT (-118.4395439920001 34.1793185920001)
1340,391597.0,Oxnard St & Woodman Ave Eastbound,POINT (-118.43085095300006 34.17932524900007)
1341,391598.0,Oxnard St & Hillview Park Ave Eastbound,POINT (-118.42804402100006 34.179334124000064)
1375,391832.0,Oxnard St & Woodman Ave Westbound,POINT (-118.43161538200009 34.17946504200009)
1374,391831.0,Oxnard St & Sunnyslope Ave Westbound,POINT (-118.4272956850001 34.17947169900006)
1376,391833.0,Oxnard St & Ranchito Ave Westbound,POINT (-118.43594178600004 34.17947280800011)
1373,391830.0,Oxnard St & Fulton Ave Westbound,POINT (-118.42297196400006 34.179482794000116)
1331,391588.0,Hazeltine Ave & Oxnard St Northbound,POINT (-118.43989133800007 34.179666966000106)
1384,391841.0,Hazeltine Ave & Calvert St Southbound,POINT (-118.4400670230001 34.18139439100006)
1332,391589.0,Hazeltine Ave & Calvert St Northbound,POINT (-118.4399060900001 34.181956879000076)
1335,391591.0,Van Nuys Blvd & Delano St Southbound,POINT (-118.44882577700008 34.18278895400008)
1381,391838.0,Van Nuys Blvd & Sylvan St Northbound,POINT (-118.4486098590001 34.184480814000075)
1383,391840.0,Sylvan St & Hazeltine Ave Eastbound,POINT (-118.44021052100008 34.18459730200007)
957,391839.0,Sylvan St & Sylmar Ave Eastbound,POINT (-118.44620794100007 34.18460284900007)
1382,391839.0,Sylvan St & Sylmar Ave Eastbound,POINT (-118.44620794100007 34.18460284900007)
1334,391596.0,Sylvan St & Sylmar Ave Westbound,POINT (-118.44639971900007 34.1847054680001)
1017,391596.0,Sylvan St & Sylmar Ave Westbound,POINT (-118.44639971900007 34.1847054680001)
1333,391590.0,Sylvan St & Hazeltine Ave Westbound,POINT (-118.44026416500007 34.18471711700008)
956,392325.0,Sylmar Ave & Victory Blvd Southbound,POINT (-118.44657808500004 34.1861915000001)
1012,393404.0,Victory Blvd & Kester Ave Eastbound,POINT (-118.45705077100008 34.186567580000066)
1013,393405.0,Victory Blvd & Cedros Ave Eastbound,POINT (-118.4532473980001 34.18657090800011)
1015,393439.0,Victory blvd & Sylmar Ave Eastbound,POINT (-118.4467135370001 34.18657201800008)
1016,393440.0,Victory Blvd & Tyrone Ave Eastbound,POINT (-118.44453558300006 34.18657423700009)
1014,393406.0,Victory Blvd & Van Nuys Blvd Eastbound,POINT (-118.44827190000007 34.186575346000076)
962,392860.0,Victory Blvd & Kester Ave Westbound,POINT (-118.4572492540001 34.18674619000009)
959,392327.0,Victory Blvd & Sylmar Ave Westbound,POINT (-118.44634071000006 34.18674951800009)
961,392859.0,Victory Blvd & Cedros Ave Westbound,POINT (-118.45290675800011 34.18674951800009)
960,392328.0,Victory Blvd & Van Nuys Blvd Westbound,POINT (-118.44915300600009 34.18675284600008)
958,392326.0,Victory Blvd & Tyrone Ave Westbound,POINT (-118.44470724500007 34.18675395600011)
1018,393441.0,Victory Blvd & Sylmar Ave Northbound,POINT (-118.44649225500008 34.18694476800008)
955,392324.0,Sylmar Ave & Hamlin St Southbound,POINT (-118.44658747300006 34.18841911200011)
1019,393442.0,Sylmar Ave & Hamlin St Northbound,POINT (-118.44649091400011 34.188526719000066)
1011,393338.0,Kester Ave & Kittridge St Southbound,POINT (-118.45754429700007 34.189995489000104)
963,392861.0,Kester Ave & Kittridge St Northbound,POINT (-118.45737397700007 34.19019073200011)
1010,393337.0,Kester Ave & Vanowen St Southbound,POINT (-118.4575510030001 34.19358521500008)
1020,393478.0,Vanowen St & Tyrone Ave Eastbound,POINT (-118.44454631200006 34.1938580990001)
954,392323.0,Vanowen St & Tyrone Ave Westbound,POINT (-118.44476357100007 34.194014507000105)
953,392322.0,Hazeltine Ave & Vanowen St Southbound,POINT (-118.4400831160001 34.194253002000075)
964,392862.0,Kester Ave & Vanowen St Northbound,POINT (-118.45736995300005 34.19426409500009)
1009,393336.0,Kester Ave & Hart St Southbound,POINT (-118.45754697900009 34.19721361100008)
1021,393479.0,Hazeltine Ave & Vanowen St Northbound,POINT (-118.43989536200006 34.19421639600009)
1022,393480.0,Hazeltine Ave & Hart St Northbound,POINT (-118.43991413700006 34.19778264800008)
952,392321.0,Hazeltine Ave & Hart St Southbound,POINT (-118.44008445700005 34.197310114000096)
965,392863.0,Kester Ave & Hart St Northbound,POINT (-118.4573712940001 34.197443223000086)
951,392320.0,Hazeltine Ave & Sherman Way Southbound,POINT (-118.44009116300009 34.20087179900006)
966,392864.0,Kester Ave & Sherman Way Northbound,POINT (-118.45738738800009 34.20094611400007)
949,392318.0,Sherman Way & Van Nuys Blvd Eastbound,POINT (-118.44836711900008 34.20109696400007)
950,392319.0,Sherman Way & Tyrone Ave Eastbound,POINT (-118.44451814900007 34.20110029200007)
919,391352.0,Sherman Way & Reseda Blvd Westbound,POINT (-118.53647634400012 34.2012189750001)
921,391354.0,Sherman Way & Wilbur Ave Westbound,POINT (-118.5445980730001 34.20122230200011)
920,391353.0,Sherman Way & Amigo Ave Westbound,POINT (-118.53892386000005 34.201227848000066)
1024,393482.0,Sherman Way & Tyrone Ave Westbound,POINT (-118.44469115100009 34.201302163000065)
1023,393481.0,Sherman Way & Hazeltine Ave Westbound,POINT (-118.4403352440001 34.20132434700006)
1008,393335.0,Kester Ave & Sherman Way Southbound,POINT (-118.4575603900001 34.2014896150001)
1025,393483.0,Van Nuys Blvd & Sherman Way Northbound,POINT (-118.44863802200005 34.2015484020001)
1026,393484.0,Van Nuys Blvd & Valerio St Northbound,POINT (-118.44865277400011 34.20463297800009)
918,391351.0,Reseda Blvd & Valerio St Southbound,POINT (-118.5361665490001 34.204921354000106)
1007,393334.0,Kester Ave & Valerio St Southbound,POINT (-118.4575550260001 34.20498790200006)
967,392865.0,Kester Ave & Valerio St Northbound,POINT (-118.45737531800005 34.205093270000106)
948,392317.0,Van Nuys Blvd & Valerio St Southbound,POINT (-118.44887137400009 34.20510768900007)
917,391350.0,Reseda Blvd & Saticoy St Southbound,POINT (-118.53617727800008 34.20807124400009)
1004,393286.0,Saticoy St & Sepulveda Blvd Eastbound,POINT (-118.46574783300007 34.208376244000114)
1005,393287.0,Saticoy St & Noble Ave Eastbound,POINT (-118.4614522760001 34.20838179000007)
1006,393333.0,Saticoy St & Kester Ave Eastbound,POINT (-118.45766231400007 34.20838400800009)
968,392866.0,Saticoy St & Kester Ave Westbound,POINT (-118.4578178820001 34.208531517000075)
969,392867.0,Saticoy St & Noble Ave Westbound,POINT (-118.46200078700008 34.208535953000116)
970,392868.0,Saticoy St & Sepulveda Blvd Westbound,POINT (-118.46594095200008 34.208535953000116)
947,392316.0,Van Nuys Blvd & Saticoy St Southbound,POINT (-118.4488780800001 34.20864131700009)
922,391355.0,Wilbur Ave & Saticoy St Northbound,POINT (-118.54470267900007 34.20866349800011)
1027,393485.0,Van Nuys Blvd & Saticoy St Northbound,POINT (-118.44865948000006 34.2087943710001)
946,392315.0,Amtrak/Metrolink Station,POINT (-118.44850700000008 34.210563000000064)
988,392315.0,Amtrak/Metrolink Station,POINT (-118.44850700000008 34.210563000000064)
1003,393285.0,Sepulveda Blvd & Stagg St Southbound,POINT (-118.46632584900011 34.2117988310001)
971,392869.0,Sepulveda Blvd & Stagg St Northbound,POINT (-118.46608310900005 34.211955206000056)
916,391349.0,Reseda Blvd & Ingomar St Southbound,POINT (-118.53619203000005 34.21216259700007)
1002,393284.0,Sepulveda Blvd & Raymer St Southbound,POINT (-118.46630707400011 34.21384388700009)
972,392870.0,Sepulveda Blvd & Raymer St Northbound,POINT (-118.46602544200012 34.214085653000076)
987,393092.0,Van Nuys Blvd & Blythe St Southbound,POINT (-118.44887673900008 34.21537432000006)
989,393271.0,Van Nuys Blvd & Blythe St Northbound,POINT (-118.4486098590001 34.21565156900007)
915,391348.0,Reseda Blvd & Strathern St Southbound,POINT (-118.5361960530001 34.215803501000075)
923,391356.0,Wilbur Ave & Strathern St Northbound,POINT (-118.54472279500008 34.215893330000064)
1001,393283.0,Sepulveda Blvd & Lanark St Southbound,POINT (-118.46659809400005 34.21814122700008)
990,393272.0,Van Nuys Blvd & Lanark St Northbound,POINT (-118.44864204500008 34.218212201000064)
986,393091.0,Van Nuys Blvd & Lanark St Southbound,POINT (-118.44886869200008 34.21822218100007)
973,392871.0,Sepulveda Blvd & Lanark St Northbound,POINT (-118.46659272900006 34.218744501000096)
914,391347.0,Reseda Blvd & Roscoe Blvd Southbound,POINT (-118.53619739400006 34.220328073000104)
924,391357.0,Wilbur Ave & Roscoe Blvd Northbound,POINT (-118.54471877200005 34.220885865000106)
1000,393282.0,Sepulveda Blvd & Roscoe Blvd Southbound,POINT (-118.46785739100007 34.22103446100008)
985,393090.0,Van Nuys Blvd & Roscoe Blvd Southbound,POINT (-118.44887405600008 34.22123628500006)
974,392872.0,Sepulveda Blvd & Roscoe Blvd Northbound,POINT (-118.46758782900007 34.22178852700009)
991,393273.0,Van Nuys Blvd & Roscoe Blvd Northbound,POINT (-118.44867155000007 34.22198369600009)
984,393089.0,Van Nuys Blvd & Chase St Southbound,POINT (-118.44885796300008 34.22439000100011)
925,391358.0,Wilbur Ave & Chase St Northbound,POINT (-118.54472547800009 34.22440330700008)
975,392873.0,Sepulveda Blvd & Chase St Northbound,POINT (-118.46756905300008 34.22450532400009)
992,393274.0,Van Nuys Blvd & Chase St Northbound,POINT (-118.44866618500008 34.22458405400008)
913,391346.0,Reseda Blvd & Chase St Southbound,POINT (-118.53618800600009 34.2247337530001)
999,393281.0,Sepulveda Blvd & Chase St Southbound,POINT (-118.4678319100001 34.224794741000075)
983,393088.0,Van Nuys Blvd & Vesper Ave Southbound,POINT (-118.44965189700007 34.226370438000096)
982,392879.0,Parthenia St & Tobias Ave Eastbound,POINT (-118.45177218300006 34.22778754200008)
998,393280.0,Sepulveda Blvd & Parthenia St Southbound,POINT (-118.46779570000007 34.22781415400008)
912,391345.0,Reseda Blvd & Parthenia St Southbound,POINT (-118.53621885200009 34.227833004000075)
976,392874.0,Sepulveda Blvd & Parthenia St Northbound,POINT (-118.46753418400009 34.228062533000106)
981,392878.0,Parthenia St & Willis Ave Eastbound,POINT (-118.45501497400012 34.2280702950001)
980,392877.0,Parthenia St & Kester Ave Eastbound,POINT (-118.45717281100008 34.22808470900006)
979,392876.0,Parthenia St & Noble Ave Eastbound,POINT (-118.46131414200012 34.22811021200008)
993,393275.0,Parthenia St & Tobias Ave Westbound,POINT (-118.45218122000006 34.228168981000096)
978,392875.0,Columbus Ave & Parthenia St Eastbound,POINT (-118.46513092500011 34.22819226600009)
903,391336.0,Parthenia St & Shirley Ave Westbound,POINT (-118.5576872530001 34.22829760500011)
901,391334.0,Parthenia St & Vanalden Ave Westbound,POINT (-118.5490196940001 34.22831202000007)
900,391333.0,Parthenia St & Wilbur Ave Westbound,POINT (-118.54555830400005 34.228318673000075)
994,393276.0,Parthenia St & Willis Ave Westbound,POINT (-118.45510482800006 34.22831978100007)
902,391335.0,Parthenia St & Tampa Ave Westbound,POINT (-118.55401128500006 34.22832643400009)
995,393277.0,Parthenia St & Kester Ave Westbound,POINT (-118.4577615560001 34.228335305000066)
997,393279.0,Parthenia St & Columbus Ave Westbound,POINT (-118.46575319800009 34.22834306700006)
996,393278.0,Parthenia St & Noble Ave Westbound,POINT (-118.46139997200008 34.22835859000006)
904,391337.0,Corbin Ave & Parthenia St Northbound,POINT (-118.56219336400004 34.228651321000065)
899,391332.0,Northridge Metrolink Station,POINT (-118.54506343600006 34.23003512200009)
905,391338.0,Nordhoff Way & Corbin Ave Eastbound,POINT (-118.56174677600008 34.231886808000105)
911,391344.0,Reseda Blvd & Rayen St Southbound,POINT (-118.53619337100008 34.232055343000106)
910,391343.0,Reseda Blvd & Nordhoff St Southbound,POINT (-118.5362054410001 34.235073387000085)
906,391339.0,Nordhoff St & Tampa Ave Eastbound,POINT (-118.55307921800011 34.235389377000075)
907,391340.0,Nordhoff St & Vanalden Ave Eastbound,POINT (-118.54875683800009 34.2353960290001)
908,391341.0,Nordhoff St & Wilbur Ave Eastbound,POINT (-118.54435533300007 34.2354004640001)
909,391342.0,Nordhoff St & Yolanda Ave Eastbound,POINT (-118.54003965900006 34.235404899000095)
0,431166.0,Ports O'Call & Sampson Way,POINT (-118.2778000830001 33.732040184000056)
17,355768.0,7th St & Grand Ave (Eastbound),POINT (-118.29030320000011 33.737792818000095)
19,355780.0,7th St & Mesa St (Eastbound),POINT (-118.2858574390001 33.7377995090001)
18,355775.0,7th St & Pacific Ave (Eastbound),POINT (-118.28806221500008 33.7377995090001)
20,448439.0,7th St & Palos Verdes St (Eastbound),POINT (-118.28125476800004 33.737821814000064)
16,448448.0,7th St & Gaffey St (Eastbound),POINT (-118.29205870600009 33.73783073600007)
3,448438.0,7th St & Palos Verdes St (Westbound),POINT (-118.28125476800004 33.73785304100008)
