Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
"060377029001","Block Group 1, Census Tract 7029, Los Angeles County, California","ACSSF","ca","150","00","0022051",,,,,"06","037",,,"702900","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377029001","Block Group 1",,,,2253,20240.25,0.111312870947665
"060377029002","Block Group 2, Census Tract 7029, Los Angeles County, California","ACSSF","ca","150","00","0022052",,,,,"06","037",,,"702900","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377029002","Block Group 2",,,,2567,28083.19,0.0914069872138404
"060377029003","Block Group 3, Census Tract 7029, Los Angeles County, California","ACSSF","ca","150","00","0022053",,,,,"06","037",,,"702900","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377029003","Block Group 3",,,,2831,27190.44,0.104117470814537
"060377029004","Block Group 4, Census Tract 7029, Los Angeles County, California","ACSSF","ca","150","00","0022054",,,,,"06","037",,,"702900","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377029004","Block Group 4",,,,1704,3119.083,0.546314500298843
"060377030021","Block Group 1, Census Tract 7030.02, Los Angeles County, California","ACSSF","ca","150","00","0022055",,,,,"06","037",,,"703002","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377030021","Block Group 1",,,,808,5059.243,0.159707689765358
"060377030022","Block Group 2, Census Tract 7030.02, Los Angeles County, California","ACSSF","ca","150","00","0022056",,,,,"06","037",,,"703002","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377030022","Block Group 2",,,,1556,8374.871,0.18579391101426
"060377030023","Block Group 3, Census Tract 7030.02, Los Angeles County, California","ACSSF","ca","150","00","0022057",,,,,"06","037",,,"703002","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377030023","Block Group 3",,,,3065,8582.257,0.357132156596865
"060377030024","Block Group 4, Census Tract 7030.02, Los Angeles County, California","ACSSF","ca","150","00","0022058",,,,,"06","037",,,"703002","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377030024","Block Group 4",,,,1384,2460.377,0.562515347561456
"060377030031","Block Group 1, Census Tract 7030.03, Los Angeles County, California","ACSSF","ca","150","00","0022059",,,,,"06","037",,,"703003","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377030031","Block Group 1",,,,2506,19153.9,0.130834969119548
"060377030032","Block Group 2, Census Tract 7030.03, Los Angeles County, California","ACSSF","ca","150","00","0022060",,,,,"06","037",,,"703003","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377030032","Block Group 2",,,,1892,4239.674,0.446260754876084
"060377030033","Block Group 3, Census Tract 7030.03, Los Angeles County, California","ACSSF","ca","150","00","0022061",,,,,"06","037",,,"703003","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377030033","Block Group 3",,,,396,3112.296,0.127237269052984
"060377030034","Block Group 4, Census Tract 7030.03, Los Angeles County, California","ACSSF","ca","150","00","0022062",,,,,"06","037",,,"703003","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377030034","Block Group 4",,,,1423,19317.33,0.0736644339664894
"060377031001","Block Group 1, Census Tract 7031, Los Angeles County, California","ACSSF","ca","150","00","0022063",,,,,"06","037",,,"703100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377031001","Block Group 1",,,,340,1649.254,0.206153850905873
"060377031002","Block Group 2, Census Tract 7031, Los Angeles County, California","ACSSF","ca","150","00","0022064",,,,,"06","037",,,"703100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377031002","Block Group 2",,,,1117,7783.852,0.143502209276645
"060377031003","Block Group 3, Census Tract 7031, Los Angeles County, California","ACSSF","ca","150","00","0022065",,,,,"06","037",,,"703100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377031003","Block Group 3",,,,1360,9418.188,0.144401441242199
"060377031004","Block Group 4, Census Tract 7031, Los Angeles County, California","ACSSF","ca","150","00","0022066",,,,,"06","037",,,"703100","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377031004","Block Group 4",,,,1374,4108.354,0.334440545670482
"060377031005","Block Group 5, Census Tract 7031, Los Angeles County, California","ACSSF","ca","150","00","0022067",,,,,"06","037",,,"703100","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377031005","Block Group 5",,,,809,6067.302,0.133337683417838
"060377031006","Block Group 6, Census Tract 7031, Los Angeles County, California","ACSSF","ca","150","00","0022068",,,,,"06","037",,,"703100","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377031006","Block Group 6",,,,1286,19472.23,0.0660427770321716
"060377032001","Block Group 1, Census Tract 7032, Los Angeles County, California","ACSSF","ca","150","00","0022069",,,,,"06","037",,,"703200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377032001","Block Group 1",,,,956,7631.935,0.125263128632256
"060377032002","Block Group 2, Census Tract 7032, Los Angeles County, California","ACSSF","ca","150","00","0022070",,,,,"06","037",,,"703200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377032002","Block Group 2",,,,1038,8405.108,0.123496325079498
"060377032003","Block Group 3, Census Tract 7032, Los Angeles County, California","ACSSF","ca","150","00","0022071",,,,,"06","037",,,"703200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377032003","Block Group 3",,,,722,7957.968,0.0907266751815066
"060377032004","Block Group 4, Census Tract 7032, Los Angeles County, California","ACSSF","ca","150","00","0022072",,,,,"06","037",,,"703200","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377032004","Block Group 4",,,,691,5213.02,0.132552737696082
"060377032005","Block Group 5, Census Tract 7032, Los Angeles County, California","ACSSF","ca","150","00","0022073",,,,,"06","037",,,"703200","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377032005","Block Group 5",,,,678,3411.673,0.198729492182975
"060377032006","Block Group 6, Census Tract 7032, Los Angeles County, California","ACSSF","ca","150","00","0022074",,,,,"06","037",,,"703200","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377032006","Block Group 6",,,,942,6608.759,0.142538112145693
"060378001011","Block Group 1, Census Tract 8001.01, Los Angeles County, California","ACSSF","ca","150","00","0022075",,,,,"06","037",,,"800101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060378001011","Block Group 1",,,,3652,4644.922,0.786234916918534
"060378001012","Block Group 2, Census Tract 8001.01, Los Angeles County, California","ACSSF","ca","150","00","0022076",,,,,"06","037",,,"800101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060378001012","Block Group 2",,,,2092,894.1218,2.33972589834393
"060378001031","Block Group 1, Census Tract 8001.03, Los Angeles County, California","ACSSF","ca","150","00","0022077",,,,,"06","037",,,"800103","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060378001031","Block Group 1",,,,2921,591.7314,4.9363614812115
"060378001032","Block Group 2, Census Tract 8001.03, Los Angeles County, California","ACSSF","ca","150","00","0022078",,,,,"06","037",,,"800103","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060378001032","Block Group 2",,,,586,266.7369,2.19692098959532
